Código de barras,Descripción,Precio,Precio anterior,Oferta,Stand,Foto,Stock
7791000000017,Kindel Omeprazol 20mg x20 comp,7900,,,1,,164
7791000000024,Kindel Jarabe expectorante infantil 120ml x30 comp,10650,,,1,,162
7791000000031,Fortex Exfoliante facial 100g piel sensible,40450,50550,,1,,0
7791000000048,Kindel Levadura de cerveza 500g,61950,77450,,1,/img/demo/prod-2.svg,132
7791000000055,Kindel Vitamina C 500mg efervescente x30 comp,2250,,,1,,99
7791000000062,Dermalia Espirulina x90 comp sabor neutro,9550,12750,,1,,104
7791000000079,Kindel Agua micelar 400ml piel mixta,35300,,,1,,
7791000000086,Kindel Crema para dolores musculares 100g x30 comp,14300,,,1,,205
7791000000093,Kindel Ginkgo biloba x60 comp sabor neutro,9050,,,1,,69
7791000000109,Kindel Agua micelar 400ml piel seca,24000,,,1,,215
7791000000116,Kindel Sales de rehidratación oral x20 comp,3750,,,1,,9
7791000000123,Kindel Pre-entreno frutos rojos 300g pack x2,27700,55400,Oferta,1,,39
7791000000130,Fortex Gotas oftálmicas lubricantes 15ml x20 comp,14850,,,1,,
7791000000147,Kindel Multivitamínico 50+ x60 pack x2,41250,,Combo,1,,122
7791000000154,Fortex Loratadina 10mg x30 comp,2250,,Combo,1,,
7791000000161,Fortex Colágeno hidrolizado 300g premium,22000,27500,,1,,
7791000000178,Dermalia Ibuprofeno 600mg x30 comp,4650,,,1,,
7791000000185,Fortex Crema antiage noche 50g,10950,,,1,,
7791000000192,Dermalia Ibuprofeno 600mg x20 comp,4050,4500,Oferta,1,,86
7791000000208,Dermalia Caseína micelar 900g pack x2,9350,,,1,,172
7791000000215,Dermalia Levadura de cerveza 500g,33500,,,1,,50
7791000000222,Dermalia Bálsamo labial FPS 30,28400,47350,Oferta,1,,
7791000000239,Dermalia ZMA x90 caps premium,18300,,,1,,97
7791000000246,Kindel Gel de limpieza facial 150ml piel mixta,6300,,Combo,1,/img/demo/prod-8.svg,203
7791000000253,Kindel Crema facial hidratante 50g piel seca,10650,16400,,1,,
7791000000260,Fortex Proteína whey vainilla 1kg pack x2,9200,,,1,,
7791000000277,Dermalia Gel de limpieza facial 150ml piel mixta,14600,22450,,1,,
7791000000284,Kindel Máscara facial hidratante 75ml,21300,,,1,,91
7791000000291,Kindel Crema para manos 75ml piel mixta,34100,,,1,,191
7791000000307,Kindel Té digestivo hierbas serranas x10 comp,11000,15700,,1,,
7791000000314,Kindel Protector solar FPS 50 200ml piel mixta,13700,19550,,1,,226
7791000000321,Fortex Té digestivo hierbas serranas x50 comp,12450,,,1,,
7791000000338,Fortex Maca andina en polvo 250g pack x2,79650,,,1,,
7791000000345,Kindel Crema para manos 75ml piel seca,24600,37850,,1,,
7791000000352,Fortex Aspirina 500mg x30 comp,11200,,,1,,178
7791000000369,Kindel Serum vitamina C 30ml piel sensible,13200,,,1,,
7791000000376,Fortex Omeprazol 20mg x20 comp,7450,,,1,,57
7791000000383,Dermalia Coenzima Q10 x30 caps pack x2,11000,,,1,,
7791000000390,Kindel Complejo B x20 comp,3650,,,1,,187
7791000000406,Fortex Agua micelar 400ml piel sensible,15800,,,1,,34
7791000000413,Kindel Crema facial hidratante 50g piel mixta,28750,,,1,,
7791000000420,Kindel Carbón activado x10 comp,3950,,,1,/img/demo/prod-7.svg,
7791000000437,Dermalia Sales de rehidratación oral,13150,,,1,,
7791000000444,Fortex Colágeno hidrolizado 300g sabor neutro,32450,,,1,/img/demo/prod-8.svg,
7791000000451,Kindel Hierro + ácido fólico x30 comp,9550,,3x2,1,,22
7791000000468,Kindel Loratadina 10mg x10 comp,3000,,,1,,160
7791000000475,Dermalia Aceite corporal nutritivo 125ml piel seca,7350,8650,,1,,110
7791000000482,Fortex Crema para manos 75ml piel seca,20800,34650,,1,,
7791000000499,Kindel Ginseng coreano x30 caps pack x2,55400,69250,,1,,162
7791000000505,Kindel Maca andina en polvo 250g premium,65400,,,1,,235
7791000000512,Kindel Té digestivo hierbas serranas x30 comp,5400,6000,,1,,150
7791000000529,Dermalia Locion post solar 200ml piel sensible,38850,43150,,1,,217
7791000000536,Kindel Aceite corporal nutritivo 125ml piel sensible,47050,,,1,,53
7791000000543,Kindel Sales de rehidratación oral,3950,4400,,1,,
7791000000550,Fortex Glutamina 300g premium,52100,,,1,,178
7791000000567,Dermalia Exfoliante facial 100g piel seca,16900,,,1,,
7791000000574,Fortex Glutamina 300g pack x2,104150,,,1,,119
7791000000581,Fortex Levadura de cerveza 500g sabor neutro,30100,,,1,,137
7791000000598,Fortex Crema corporal reparadora 300ml,16250,,,1,,191
7791000000604,Dermalia Cetirizina 10mg x20 comp,19800,,,1,,0
7791000000611,Fortex Barritas proteicas caja x12 premium,20450,,,1,,
7791000000628,Kindel Exfoliante facial 100g piel sensible,25450,,,1,,
7791000000635,Kindel Diclofenac gel 60g x50 comp,16200,,,1,,12
7791000000642,Kindel Crema para dolores musculares 100g x50 comp,2000,,3x2,1,,9
7791000000659,Dermalia Proteína whey vainilla 1kg premium,79150,131900,,1,,215
7791000000666,Fortex Locion post solar 200ml piel seca,31300,,,1,/img/demo/prod-8.svg,
7791000000673,Fortex Lansoprazol 30mg x30 comp,14950,,,1,,
7791000000680,Kindel Vitamina C 500mg efervescente x50 comp,9050,,,1,,167
7791000000697,Kindel ZMA x90 caps,15350,,,1,,80
7791000000703,Kindel Multivitamínico adultos x60 premium,13850,,,1,,143
7791000000710,Kindel Lansoprazol 30mg x20 comp,2750,,,1,,
7791000000727,Dermalia Agua micelar 400ml piel seca,27950,,,1,,55
7791000000734,Fortex Espirulina x90 comp sabor neutro,22300,,,1,,219
7791000000741,Fortex Diclofenac gel 60g x20 comp,10050,15450,Oferta,1,/img/demo/prod-7.svg,172
7791000000758,Kindel Antiacido masticable,14750,17350,Oferta,1,,
7791000000765,Dermalia Diclofenac gel 60g x20 comp,11600,,,1,,106
7791000000772,Kindel Creatina monohidrato 300g pack x2,101600,,,1,/img/demo/prod-7.svg,
7791000000789,Dermalia Ginseng coreano x30 caps sabor neutro,64500,,,1,,
7791000000796,Kindel Ginkgo biloba x60 comp,17450,,,1,,92
7791000000802,Kindel Caseína micelar 900g,11000,18350,,1,,
7791000000819,Kindel Lansoprazol 30mg x30 comp,11750,15650,,1,,27
7791000000826,Kindel Serum ácido hialurónico 30ml,27000,,,1,,237
7791000000833,Fortex Serum ácido hialurónico 30ml,13750,27500,Oferta,1,,
7791000000840,Kindel Gotas oftálmicas lubricantes 15ml x10 comp,5650,,,1,,
7791000000857,Fortex Contorno de ojos 15ml piel seca,13150,,2x1,1,,
7791000000864,Fortex Ginkgo biloba x60 comp pack x2,13900,16350,,1,,
7791000000871,Kindel Gotas oftálmicas lubricantes 15ml x20 comp,10800,,Combo,1,,223
7791000000888,Kindel BCAA 2:1:1 x120 caps sabor neutro,11200,,,1,,219
7791000000895,Kindel Maca andina en polvo 250g sabor neutro,64650,,,1,,
7791000000901,Fortex Crema corporal reparadora 300ml piel seca,6250,,,1,,
7791000000918,Kindel Omega 3 1000mg x60 caps pack x2,44650,,,1,,
7791000000925,Dermalia Roll-on ojeras 15ml piel mixta,6050,8050,,1,,
7791000000932,Fortex Antiacido masticable,2450,,,1,/img/demo/prod-3.svg,96
7791000000949,Kindel Jarabe para la tos adultos 120ml x20 comp,12650,,,1,,186
7791000000956,Dermalia Crema para dolores musculares 100g x10 comp,18350,24450,Oferta,1,/img/demo/prod-3.svg,81
7791000000963,Kindel Gotas oftálmicas lubricantes 15ml x50 comp,8300,,,1,,
7791000000970,Fortex Multivitamínico adultos x60 premium,48850,,,1,/img/demo/prod-5.svg,142
7791000000987,Fortex Protector solar facial FPS 50 50ml,39500,,,1,,35
7791000000994,Kindel Locion post solar 200ml piel mixta,6100,,,1,,
7791000001007,Dermalia Loratadina 10mg x10 comp,12600,,3x2,1,,
7791000001014,Kindel Proteína whey chocolate 1kg sabor neutro,59250,,,1,,249
7791000001021,Dermalia Pre-entreno frutos rojos 300g,21450,28600,,1,,69
7791000001038,Kindel Glutamina 300g premium,28700,,,1,,69
7791000001045,Kindel Multivitamínico 50+ x60 premium,42450,,,1,,
7791000001052,Kindel Agua micelar 400ml,14600,,,1,,
7791000001069,Dermalia Proteína vegetal 750g pack x2,17250,19150,,1,,
7791000001076,Dermalia Pre-entreno frutos rojos 300g pack x2,9100,12150,,1,,246
7791000001083,Kindel Gel anticelulítico 200ml piel sensible,28700,,,1,,
7791000001090,Dermalia Crema para dolores musculares 100g x50 comp,9600,,,1,,175
7791000001106,Kindel Serum vitamina C 30ml,51750,64700,,1,,2
7791000001113,Kindel Crema despigmentante 30g piel mixta,11300,,2x1,1,,
7791000001120,Kindel Gel anticelulítico 200ml,6100,,,1,,
7791000001137,Fortex Ginkgo biloba x60 comp sabor neutro,19750,,,1,,34
7791000001144,Fortex Espirulina x90 comp pack x2,43200,,,1,,78
7791000001151,Fortex Paracetamol 500mg x30 comp,6900,,,1,,223
7791000001168,Kindel Loratadina 10mg,6300,,,1,,188
7791000001175,Fortex Gotas oftálmicas lubricantes 15ml x30 comp,3450,,,1,,
7791000001182,Dermalia Protector solar FPS 50 200ml piel seca,20150,,,1,,
7791000001199,Dermalia Contorno de ojos 15ml piel mixta,9650,12850,,1,,140
7791000001205,Kindel Spray nasal descongestivo 20ml x10 comp,2500,,Combo,1,,
7791000001212,Kindel Pre-entreno frutos rojos 300g,54450,83750,,1,,
7791000001229,Dermalia Crema para manos 75ml,43700,,3x2,1,,237
7791000001236,Fortex Gel de limpieza facial 150ml piel sensible,13400,,,1,,128
7791000001243,Kindel Proteína whey vainilla 1kg sabor neutro,14850,22850,,1,,
7791000001250,Fortex Proteína whey vainilla 1kg sabor neutro,56700,,,1,,197
7791000001267,Dermalia Multivitamínico adultos x60 pack x2,20450,,,1,,
7791000001274,Kindel Agua micelar 400ml piel sensible,50800,,,1,,121
7791000001281,Dermalia Caseína micelar 900g sabor neutro,44400,,,1,,0
7791000001298,Kindel Crema despigmentante 30g,6400,,,1,,
7791000001304,Dermalia Melatonina 3mg,8250,9150,Oferta,1,,
7791000001311,Dermalia Cetirizina 10mg x10 comp,2050,2400,,1,,27
7791000001328,Kindel Protector solar facial FPS 50 50ml piel seca,11250,,,1,,
7791000001335,Kindel Jarabe para la tos adultos 120ml x50 comp,2700,,,1,/img/demo/prod-3.svg,233
7791000001342,Dermalia Colágeno hidrolizado 300g sabor neutro,91400,,,1,,11
7791000001359,Fortex Proteína vegetal 750g,37000,,,1,/img/demo/prod-6.svg,211
7791000001366,Fortex Multivitamínico 50+ x60 pack x2,15750,,,1,,
7791000001373,Dermalia Bálsamo labial FPS 30 piel sensible,7300,,,1,,226
7791000001380,Fortex Locion post solar 200ml,6550,,,1,,
7791000001397,Kindel Spray nasal descongestivo 20ml x30 comp,2150,,,1,,0
7791000001403,Kindel Loratadina 10mg x20 comp,9600,,,1,,
