Stand,Proveedor
1,Vamma / Bioderma
2,Dorothy Gray
3,Dorothy Gray
4,Algabo
5,Parallel (Chicco-Avent)
6,Beauty Solutions / Disney
7,Bagó
8,Cuenca
9,Beauty Solutions / Oreiro
10,Loval
11,Combe
12,Caviahue
13,Johnson Family
14,Comimpar
15,Active Cosmetic
16,Ayudín
17,Eurolab / Viasek
18,Bernabó
19,Laboratorios ENA
20,Elea
21,IDI
22,Genoma
23,Improm (Contigo / Nuk)
24,SISCOM
25,Plumari / Estereocolor
26,Ferrini / Max
27,Buhl
28,ACF
29,Lancôme
30,Biosintex
31,Loreal / Dermo
32,BIC
33,Cdimex
34,Nestlé
35,Procter
36,Unilever Limpieza / Ala
37,Unilever Capilar / Sedal
38,Biferdil
39,Kimberly
40,Cannon
41,Coty
42,Colgate
43,By Derm / Star
44,Essity
45,Loreal / Maquillajes
46,Unilever Rexona
47,Nivea / Eucerin
48,Johnson / Neutrogena
49,Papelera
50,Andrómaco
51,Farmar
56,Facor
